#{"t_start": 1782183789.7660842, "env_id": "None"}
r,l,t,true_done
0.53,48,0.713143,True
-0.5,50,0.738091,False
-0.5,50,0.763145,False
0.5,50,0.788536,False
-0.5,50,0.813336,False
1.5,50,0.837775,False
-0.5,50,0.862283,False
-0.5,50,0.886827,False
1.5,50,0.912398,False
-0.5,50,0.938873,False
0.5,50,0.96415,False
3.5,50,0.988472,False
1.67,34,1.005712,True
0.5,50,1.030343,False
0.5,50,1.054918,False
-0.5,50,1.079163,False
-0.5,50,1.104223,False
3.5,50,1.129874,False
0.5,50,1.156596,False
-0.5,50,1.184295,False
-0.5,50,1.21247,False
-0.5,50,1.238639,False
-0.5,50,1.264523,False
0.5,50,1.289163,False
0.5,50,1.315223,False
-0.5,50,1.340458,False
1.5,50,1.365555,False
0.5,50,1.389958,False
-0.5,50,1.415084,False
-0.5,50,1.440046,False
0.5,50,1.465218,False
1.5,50,1.489743,False
-0.5,50,1.514223,False
2.74,27,1.527422,True
-0.5,50,1.553149,False
0.57,44,1.574596,True
1.5,50,1.598444,False
-0.5,50,1.62339,False
0.5,50,1.647623,False
1.5,50,1.672146,False
0.5,50,1.6964,False
-0.5,50,2.624504,False
0.5,50,2.650986,False
3.51,50,2.679417,True
2.5,50,2.708074,False
-0.5,50,2.734595,False
-0.5,50,2.761335,False
-0.5,50,2.790119,False
0.84,17,2.799906,True
-0.5,50,2.826728,False
0.5,50,2.851205,False
1.75,26,2.864239,True
3.52,49,2.887301,True
3.64,37,2.905453,True
0.5,50,2.929772,False
-0.5,50,2.953927,False
-0.5,50,2.978165,False
-0.5,50,3.002915,False
0.5,50,3.027163,False
0.78,23,3.039398,True
1.5,50,3.063984,False
-0.5,50,3.089258,False
2.5,50,3.114476,False
0.5,50,3.155993,False
-0.5,50,3.188509,False
-0.5,50,3.227188,False
-0.5,50,3.253953,False
2.63,38,3.273255,True
0.67,34,3.289962,True
0.5,50,3.316867,False
1.5,50,3.342231,False
-0.5,50,3.368236,False
-0.5,50,3.393066,False
0.5,50,3.417978,False
0.63,38,3.436445,True
-0.5,50,3.460933,False
-0.5,50,3.485708,False
3.5,50,3.51041,False
0.55,46,3.533456,True
0.5,50,3.558307,False
-0.5,50,3.582965,False
-0.5,50,3.608117,False
-0.5,50,3.632626,False
1.5,50,3.65802,False
0.5,50,3.681857,False
0.51,50,4.731197,True
4.52,49,4.761485,True
-0.5,50,4.793036,False
1.56,45,4.818694,True
0.5,50,4.84805,False
-0.5,50,4.87746,False
0.56,45,4.905822,True
2.5,50,4.934272,False
2.61,40,4.955508,True
-0.5,50,4.982573,False
-0.5,50,5.008975,False
-0.5,50,5.035549,False
2.7,31,5.0516,True
0.5,50,5.077023,False
0.82,19,5.087114,True
0.71,30,5.102632,True
0.86,15,5.110185,True
2.54,47,5.133951,True
5.5,50,5.159705,False
-0.5,50,5.184597,False
0.66,35,5.203759,True
1.68,33,5.220675,True
1.62,39,5.240366,True
1.8,21,5.251037,True
1.69,32,5.267302,True
0.5,50,5.291466,False
0.5,50,5.317067,False
0.63,38,5.336671,True
1.69,32,5.352938,True
1.51,50,5.377459,True
2.5,50,5.402093,False
0.75,26,5.414945,True
1.76,25,5.427516,True
0.5,50,5.45261,False
0.5,50,5.477171,False
1.62,39,5.496079,True
0.77,24,5.508269,True
7.5,50,5.53331,False
1.67,34,5.552152,True
1.54,47,5.577202,True
0.76,25,5.590503,True
-0.5,50,5.617151,False
4.72,29,5.631721,True
0.64,37,5.649605,True
1.55,46,5.67228,True
0.71,30,5.687095,True
2.62,39,5.706335,True
3.5,50,5.731512,False
0.64,37,5.750251,True
1.77,24,5.762202,True
0.5,50,5.786549,False
0.5,50,6.815342,False
1.75,26,6.832676,True
0.64,37,6.854731,True
1.81,20,6.867428,True
0.7,31,6.887399,True
0.82,19,6.900044,True
0.64,37,6.923844,True
1.75,26,6.941081,True
1.67,34,6.962672,True
0.57,44,6.988669,True
0.85,16,6.998674,True
0.68,33,7.016752,True
0.69,32,7.034397,True
4.74,27,7.04777,True
-0.5,50,7.073086,False
2.72,29,7.088468,True
1.69,32,7.104931,True
0.5,50,7.131075,False
0.57,44,7.154065,True
0.66,35,7.172056,True
0.79,22,7.18378,True
0.67,34,7.20203,True
0.75,26,7.216172,True
1.78,23,7.227853,True
3.55,46,7.252548,True
1.82,19,7.262348,True
1.75,26,7.276581,True
2.5,50,7.302805,False
0.66,35,7.321915,True
1.67,34,7.340262,True
3.61,40,7.36112,True
1.77,24,7.373464,True
0.82,19,7.383113,True
2.87,14,7.390265,True
1.78,23,7.402087,True
0.81,20,7.412238,True
0.75,26,7.425917,True
0.5,50,7.451274,False
-0.5,50,7.476921,False
-0.5,50,7.503293,False
3.65,36,7.521625,True
0.75,26,7.53514,True
1.87,14,7.542148,True
1.81,20,7.552794,True
0.66,35,7.570917,True
1.71,30,7.58635,True
2.68,33,7.60328,True
1.5,50,7.629479,False
1.69,32,7.645713,True
0.79,22,7.656721,True
3.68,33,7.673612,True
0.8,21,7.684772,True
0.81,20,7.694919,True
2.77,24,7.707117,True
0.69,32,7.723423,True
0.63,38,7.742929,True
0.86,15,7.751404,True
2.5,50,7.776739,False
2.61,40,7.797565,True
0.69,32,7.814414,True
0.67,34,7.83168,True
1.68,33,7.848117,True
0.78,23,7.860124,True
1.75,26,7.873197,True
-0.5,50,8.832141,False
1.67,34,8.851129,True
1.82,19,8.862167,True
0.8,21,8.872863,True
4.69,32,8.891842,True
1.64,37,8.912902,True
2.71,30,8.929848,True
0.8,21,8.943629,True
0.57,44,8.968779,True
2.77,24,8.981983,True
1.78,23,8.995995,True
0.76,25,9.010866,True
1.66,35,9.029884,True
1.77,24,9.04185,True
1.78,23,9.053008,True
1.8,21,9.063211,True
2.81,20,9.072939,True
1.65,36,9.090801,True
0.74,27,9.104119,True
1.87,14,9.110893,True
1.82,19,9.119744,True
0.64,37,9.138315,True
1.77,24,9.150841,True
0.77,24,9.162194,True
4.72,29,9.176132,True
6.52,49,9.200633,True
1.73,28,9.214134,True
0.8,21,9.224095,True
3.64,37,9.24182,True
0.66,35,9.258529,True
2.71,30,9.277129,True
2.79,22,9.289422,True
1.76,25,9.302895,True
7.52,49,9.327884,True
3.5,50,9.353239,False
1.72,29,9.368995,True
0.63,38,9.387562,True
0.69,32,9.402888,True
1.78,23,9.413978,True
6.59,42,9.434386,True
1.8,21,9.44492,True
1.67,34,9.461416,True
