#{"t_start": 1782233975.454357, "env_id": "None"}
r,l,t,true_done
0.54,47,1.268643,True
-0.5,50,1.293892,False
-0.5,50,1.320893,False
-0.5,50,1.346283,False
-0.5,50,1.372944,False
-0.5,50,1.398294,False
-0.5,50,1.423042,False
-0.5,50,1.448365,False
-0.5,50,1.474566,False
-0.5,50,1.502241,False
0.75,26,1.515743,True
-0.5,50,1.541706,False
-0.5,50,1.569169,False
0.8,21,1.579936,True
-0.5,50,1.607226,False
-0.5,50,1.632884,False
-0.5,50,1.658917,False
-0.5,50,1.684023,False
-0.5,50,1.709292,False
-0.5,50,1.734381,False
-0.5,50,1.759917,False
-0.5,50,1.786791,False
-0.5,50,1.814092,False
-0.5,50,1.840702,False
0.73,28,1.855577,True
-0.5,50,1.88085,False
-0.5,50,1.905631,False
-0.5,50,1.930908,False
-0.5,50,1.956239,False
-0.5,50,1.981439,False
-0.5,50,2.008357,False
-0.5,50,2.033706,False
-0.5,50,2.058358,False
-0.5,50,2.083315,False
-0.5,50,2.108422,False
-0.5,50,2.132709,False
-0.5,50,2.158339,False
-0.5,50,2.183744,False
-0.5,50,2.209543,False
-0.5,50,2.234848,False
0.66,35,2.253872,True
-0.5,50,2.27791,False
-0.5,50,3.278034,False
-0.5,50,3.312487,False
-0.5,50,3.345746,False
-0.5,50,3.382256,False
0.65,36,3.406138,True
-0.5,50,3.437622,False
-0.5,50,3.46443,False
-0.5,50,3.493442,False
0.75,26,3.507187,True
-0.5,50,3.531777,False
-0.5,50,3.557217,False
0.52,49,3.581994,True
-0.5,50,3.607275,False
-0.5,50,3.634065,False
-0.5,50,3.661789,False
-0.5,50,3.690724,False
-0.5,50,3.71758,False
-0.5,50,3.744627,False
-0.5,50,3.772001,False
-0.5,50,3.799804,False
-0.5,50,3.8258,False
-0.5,50,3.852448,False
-0.5,50,3.878065,False
0.69,32,3.894113,True
-0.5,50,3.919091,False
-0.5,50,3.94489,False
-0.5,50,3.970246,False
-0.5,50,3.996887,False
-0.5,50,4.022833,False
-0.5,50,4.048724,False
-0.5,50,4.074003,False
-0.5,50,4.100433,False
-0.5,50,4.12639,False
0.57,44,4.149825,True
-0.5,50,4.176419,False
-0.5,50,4.20355,False
-0.5,50,4.231312,False
0.82,19,4.241715,True
-0.5,50,4.269285,False
-0.5,50,4.29583,False
-0.5,50,4.322024,False
-0.5,50,4.348026,False
-0.5,50,4.374138,False
0.56,45,5.300778,True
-0.5,50,5.331051,False
-0.5,50,5.359922,False
-0.5,50,5.390392,False
0.82,19,5.400845,True
-0.5,50,5.428208,False
0.75,26,5.445232,True
-0.5,50,5.476377,False
-0.5,50,5.501811,False
0.6,41,5.523003,True
-0.5,50,5.547589,False
-0.5,50,5.572727,False
-0.5,50,5.597598,False
0.81,20,5.608141,True
-0.5,50,5.633262,False
-0.5,50,5.658466,False
-0.5,50,5.683402,False
-0.5,50,5.708372,False
-0.5,50,5.734024,False
-0.5,50,5.759123,False
-0.5,50,5.784548,False
-0.5,50,5.81164,False
-0.5,50,5.837223,False
0.86,15,5.844945,True
0.87,14,5.852601,True
-0.5,50,5.878312,False
-0.5,50,5.903514,False
0.57,44,5.925654,True
-0.5,50,5.951666,False
-0.5,50,5.976809,False
0.55,46,6.000919,True
-0.5,50,6.02591,False
-0.5,50,6.051992,False
-0.5,50,6.077619,False
-0.5,50,6.102644,False
0.51,50,6.127119,True
-0.5,50,6.152462,False
-0.5,50,6.17778,False
0.65,36,6.195826,True
-0.5,50,6.220747,False
0.61,40,6.240508,True
-0.5,50,6.265579,False
-0.5,50,6.290998,False
-0.5,50,6.315816,False
0.77,24,6.327846,True
0.58,43,6.349932,True
0.62,39,7.26169,True
0.84,17,7.271035,True
-0.5,50,7.3004,False
0.62,39,7.323961,True
-0.5,50,7.358129,False
0.78,23,7.372566,True
0.78,23,7.386724,True
0.67,34,7.406096,True
0.6,41,7.428877,True
0.89,12,7.435643,True
0.53,48,7.461486,True
0.68,33,7.479118,True
0.79,22,7.490606,True
0.68,33,7.507505,True
0.71,30,7.522756,True
-0.5,50,7.548402,False
0.8,21,7.55942,True
-0.5,50,7.584341,False
0.8,21,7.594877,True
0.75,26,7.60797,True
0.6,41,7.628927,True
0.8,21,7.639793,True
0.71,30,7.654965,True
-0.5,50,7.679885,False
0.54,47,7.703487,True
0.74,27,7.717549,True
0.69,32,7.73469,True
0.53,48,7.758892,True
0.81,20,7.769638,True
-0.5,50,7.798731,False
0.85,16,7.808113,True
0.82,19,7.819312,True
-0.5,50,7.846723,False
0.61,40,7.869385,True
-0.5,50,7.897466,False
0.83,18,7.907455,True
-0.5,50,7.934173,False
0.7,31,7.951229,True
0.64,37,7.97146,True
0.53,48,7.99731,True
-0.5,50,8.024995,False
0.58,43,8.047045,True
-0.5,50,8.073755,False
-0.5,50,8.099036,False
0.59,42,8.119946,True
-0.5,50,8.144922,False
0.77,24,8.15732,True
0.83,18,8.166357,True
-0.5,50,8.19167,False
0.83,18,8.200885,True
-0.5,50,8.226066,False
0.71,30,8.241482,True
0.51,50,8.268142,True
-0.5,50,8.295668,False
0.69,32,8.313076,True
0.73,28,8.328183,True
0.67,34,8.345931,True
0.81,20,9.392174,True
0.78,23,9.406609,True
