#{"t_start": 1782183918.017366, "env_id": "None"}
r,l,t,true_done
-0.5,50,0.893955,False
-0.5,50,0.920684,False
-0.5,50,0.946973,False
-0.2,50,0.972309,False
-0.2,50,0.997463,False
-0.5,50,1.023363,False
-0.2,50,1.049138,False
-0.5,50,1.074252,False
-0.5,50,1.098716,False
0.99,32,1.114509,True
-0.5,50,1.13953,False
-0.5,50,1.164991,False
-0.5,50,1.190081,False
-0.2,50,1.216857,False
-0.2,50,1.244392,False
-0.5,50,1.269524,False
-0.5,50,1.294755,False
-0.5,50,1.319762,False
-0.5,50,1.344714,False
-0.5,50,1.369326,False
-0.5,50,1.394162,False
0.1,50,1.419979,False
-0.2,50,1.444471,False
0.85,46,1.467161,True
-0.5,50,1.491006,False
-0.5,50,1.514928,False
-0.5,50,1.540348,False
-0.2,50,1.565163,False
-0.2,50,1.589337,False
-0.2,50,1.613702,False
-0.5,50,1.639897,False
-0.2,50,1.665529,False
1.06,25,1.678029,True
-0.5,50,1.702477,False
-0.5,50,1.726851,False
-0.5,50,1.751604,False
-0.2,50,1.775954,False
-0.2,50,1.800064,False
-0.2,50,1.824176,False
-0.5,50,1.848546,False
-0.5,50,1.873374,False
0.1,50,2.904038,False
0.7,31,2.922484,True
-0.2,50,2.950667,False
0.93,38,2.972352,True
0.52,49,3.001362,True
0.97,34,3.02272,True
-0.2,50,3.053962,False
0.87,44,3.080212,True
0.9,41,3.103388,True
0.58,43,3.127322,True
0.55,46,3.1542,True
0.52,49,3.18275,True
0.73,28,3.198121,True
-0.5,50,3.224154,False
-0.5,50,3.252824,False
-0.5,50,3.281505,False
0.1,50,3.308354,False
-0.2,50,3.334198,False
0.91,40,3.355361,True
-0.2,50,3.382347,False
-0.5,50,3.407643,False
0.57,44,3.429746,True
0.68,33,3.445803,True
1.02,29,3.461507,True
0.6,41,3.481709,True
-0.5,50,3.506029,False
1.0,31,3.521233,True
0.71,30,3.535723,True
-0.2,50,3.55978,False
0.83,48,3.583209,True
1.33,28,3.598092,True
0.95,36,3.617987,True
-0.2,50,3.644112,False
-0.2,50,3.671719,False
0.88,43,3.693698,True
-0.5,50,3.719689,False
-0.5,50,3.744775,False
0.64,37,3.764158,True
-0.5,50,3.788761,False
0.57,44,3.811741,True
-0.5,50,3.837537,False
0.51,50,3.861896,True
0.82,49,3.885541,True
0.96,35,3.902488,True
-0.5,50,3.9266,False
0.9,41,3.946985,True
-0.5,50,3.971434,False
-0.5,50,4.904988,False
