#{"t_start": 1782337715.0566962, "env_id": "None"}
r,l,t,true_done
-0.5,50,1.222975,False
0.1,50,1.257581,False
-0.5,50,1.300894,False
-0.5,50,1.330649,False
-0.5,50,1.360064,False
0.1,50,1.389897,False
-0.5,50,1.422798,False
1.32,29,1.440362,True
-0.5,50,1.469336,False
-0.5,50,1.49992,False
1.16,45,1.528218,True
0.1,50,1.558808,False
0.1,50,1.589194,False
1.34,27,1.607828,True
0.1,50,1.641511,False
-0.5,50,1.672164,False
-0.5,50,1.703923,False
-0.5,50,1.73445,False
0.1,50,1.764499,False
-0.5,50,1.795263,False
0.56,45,1.821825,True
-0.5,50,1.852233,False
-0.5,50,1.883283,False
0.1,50,1.918132,False
1.17,44,1.945445,True
0.1,50,1.974911,False
0.1,50,2.004614,False
-0.5,50,2.035019,False
-0.5,50,2.063448,False
-0.5,50,2.092269,False
0.57,44,2.117251,True
0.1,50,2.146541,False
-0.5,50,2.176426,False
-0.5,50,2.206292,False
0.1,50,2.2359,False
-0.5,50,2.264793,False
0.1,50,2.304716,False
0.1,50,2.334321,False
0.1,50,2.363661,False
0.1,50,2.394728,False
0.55,46,2.422556,True
-0.5,50,2.451995,False
1.12,49,3.975203,True
0.72,29,3.998062,True
-0.5,50,4.041398,False
0.1,50,4.080657,False
-0.5,50,4.115516,False
-0.5,50,4.14602,False
0.1,50,4.177857,False
0.63,38,4.203701,True
0.1,50,4.237691,False
-0.5,50,4.269535,False
0.1,50,4.300935,False
0.71,30,4.319608,True
-0.5,50,4.34883,False
-0.5,50,4.379327,False
0.66,35,4.400858,True
0.1,50,4.431055,False
0.61,40,4.456792,True
-0.5,50,4.487277,False
1.26,35,4.508767,True
0.1,50,4.541381,False
0.1,50,4.570919,False
1.29,32,4.589472,True
1.23,38,4.611869,True
0.65,36,4.633227,True
1.41,20,4.644803,True
-0.5,50,4.67457,False
-0.5,50,4.70529,False
0.1,50,4.73643,False
-0.5,50,4.767024,False
1.23,38,4.790999,True
0.56,45,4.822353,True
0.1,50,4.862341,False
-0.5,50,4.892809,False
1.17,44,4.921213,True
-0.5,50,4.952955,False
-0.5,50,4.984257,False
-0.5,50,5.014559,False
0.84,17,5.025133,True
-0.5,50,5.055024,False
0.6,41,5.079947,True
0.71,30,5.098121,True
0.76,25,5.112988,True
1.26,35,5.13382,True
0.1,50,5.167011,False
-0.5,50,5.201636,False
-0.5,50,5.233755,False
0.1,50,5.264742,False
0.82,19,6.64874,True
0.1,50,6.690044,False
-0.5,50,6.732375,False
1.45,16,6.745134,True
0.63,38,6.778047,True
0.63,38,6.807975,True
0.79,22,6.829433,True
1.26,35,6.855149,True
1.35,26,6.872996,True
-0.5,50,6.905941,False
0.68,33,6.928128,True
0.57,44,6.9597,True
0.78,23,6.975059,True
1.27,34,6.998944,True
0.76,25,7.015708,True
1.38,23,7.031999,True
0.75,26,7.051876,True
0.73,28,7.070034,True
0.69,32,7.090084,True
0.77,24,7.105692,True
0.71,30,7.125336,True
0.1,50,7.156933,False
0.83,18,7.169316,True
-0.5,50,7.201717,False
0.1,50,7.233535,False
1.38,23,7.248233,True
-0.5,50,7.279948,False
0.78,23,7.294615,True
1.33,28,7.311985,True
0.83,18,7.323196,True
0.51,50,7.354845,True
0.6,41,7.38173,True
0.67,34,7.402801,True
1.11,50,7.43346,True
0.1,50,7.465609,False
1.22,39,7.489641,True
1.26,35,7.511893,True
0.52,49,7.544033,True
1.39,22,7.557612,True
0.1,50,7.588194,False
0.77,24,7.603177,True
-0.5,50,7.638578,False
0.75,26,7.655492,True
0.82,19,7.669386,True
0.69,32,7.689998,True
-0.5,50,7.722613,False
0.78,23,7.738467,True
0.85,16,7.749124,True
0.68,33,7.773214,True
0.1,50,7.806995,False
0.77,24,7.821819,True
0.1,50,7.85252,False
1.2,41,7.880842,True
0.84,17,7.891533,True
0.56,45,7.919949,True
0.82,19,7.931611,True
-0.5,50,7.96419,False
0.72,29,7.982305,True
1.36,25,7.997718,True
1.29,32,8.018872,True
1.38,23,9.466519,True
1.23,38,9.498063,True
1.36,25,9.518552,True
1.41,20,9.535241,True
0.8,21,9.552767,True
1.37,24,9.572342,True
0.71,30,9.597508,True
0.75,26,9.615385,True
1.38,23,9.630482,True
0.8,21,9.644644,True
1.38,23,9.661202,True
1.24,37,9.686301,True
0.84,17,9.698047,True
1.2,41,9.728682,True
0.79,22,9.743714,True
0.67,34,9.769091,True
1.24,37,9.795695,True
1.34,27,9.814276,True
0.69,32,9.836778,True
0.77,24,9.854075,True
0.74,27,9.871091,True
0.83,18,9.882469,True
1.35,26,9.898837,True
0.57,44,9.926614,True
1.49,12,9.934424,True
1.27,34,9.957508,True
1.3,31,9.976574,True
1.2,41,10.005185,True
1.44,17,10.016427,True
0.79,22,10.030624,True
0.76,25,10.047596,True
0.81,20,10.061019,True
0.69,32,10.082095,True
0.83,18,10.093715,True
0.69,32,10.114964,True
0.73,28,10.137649,True
1.34,27,10.158015,True
0.73,28,10.229993,True
0.86,15,10.241296,True
0.76,25,10.257504,True
1.26,35,10.280529,True
1.31,30,10.298891,True
0.82,19,10.311331,True
0.76,25,10.326457,True
1.31,30,10.345376,True
0.71,30,10.364051,True
0.78,23,10.37928,True
1.43,18,10.391143,True
0.78,23,10.406137,True
1.47,14,10.41623,True
1.45,16,10.427196,True
1.42,19,10.440014,True
0.87,14,10.449473,True
1.32,29,10.469332,True
0.76,25,10.486227,True
1.36,25,10.503503,True
0.71,30,10.526485,True
0.83,18,10.539923,True
1.39,22,10.554891,True
0.1,50,10.587294,False
0.61,40,10.613061,True
0.76,25,10.629635,True
1.37,24,10.645468,True
0.1,50,10.678157,False
0.78,23,10.69296,True
0.81,20,10.7058,True
1.44,17,10.716821,True
0.69,32,10.737625,True
1.24,37,10.765219,True
0.1,50,10.805168,False
1.38,23,10.823266,True
1.29,32,10.844743,True
0.63,38,10.872895,True
0.78,23,10.889015,True
0.75,26,10.907427,True
0.81,20,10.92166,True
1.43,18,12.405678,True
1.3,31,12.432069,True
1.26,35,12.462809,True
0.85,16,12.476799,True
0.78,23,12.495697,True
1.39,22,12.514713,True
0.83,18,12.530313,True
0.85,16,12.544714,True
0.76,25,12.561847,True
0.8,21,12.575357,True
1.4,21,12.597684,True
0.79,22,12.619353,True
1.43,18,12.633333,True
1.33,28,12.65305,True
0.84,17,12.666314,True
0.75,26,12.685347,True
0.8,21,12.698346,True
1.45,16,12.709158,True
0.66,35,12.737247,True
1.46,15,12.746922,True
0.83,18,12.758829,True
0.71,30,12.784919,True
1.48,13,12.79358,True
1.43,18,12.805146,True
1.38,23,12.824338,True
1.35,26,12.841103,True
1.44,17,12.852385,True
0.71,30,12.876742,True
0.79,22,12.897455,True
0.84,17,12.910451,True
0.87,14,12.923111,True
0.81,20,12.935947,True
0.78,23,12.951732,True
1.49,12,12.95999,True
0.85,16,12.972928,True
0.78,23,12.987817,True
0.82,19,13.00196,True
1.45,16,13.013828,True
0.79,22,13.032659,True
1.15,46,13.06428,True
0.85,16,13.077208,True
1.38,23,13.091663,True
1.24,37,13.116756,True
1.34,27,13.143458,True
1.43,18,13.158141,True
0.86,15,13.170887,True
0.87,14,13.180809,True
1.44,17,13.191568,True
1.28,33,13.212332,True
1.47,14,13.224695,True
0.87,14,13.234906,True
0.79,22,13.249679,True
0.87,14,13.258835,True
0.85,16,13.272037,True
0.82,19,13.285096,True
1.35,26,13.303159,True
0.82,19,13.315372,True
0.73,28,13.337654,True
1.37,24,13.352905,True
1.43,18,13.365456,True
1.35,26,13.38585,True
1.47,14,13.394866,True
1.41,20,13.407995,True
0.89,12,13.416403,True
0.78,23,13.43386,True
1.43,18,13.445033,True
0.73,28,13.463987,True
0.71,30,13.485463,True
0.87,14,13.496339,True
0.8,21,13.509822,True
0.74,27,13.530417,True
0.1,50,13.565451,False
1.37,24,13.582972,True
0.86,15,13.592533,True
0.81,20,13.605681,True
1.36,25,13.625372,True
0.83,18,13.637791,True
0.84,17,13.650217,True
0.85,16,13.660536,True
0.83,18,13.675096,True
0.77,24,13.691738,True
0.88,13,13.701833,True
1.45,16,13.712836,True
1.36,25,13.730104,True
1.41,20,13.742924,True
1.4,21,13.756352,True
0.75,26,13.776266,True
1.41,20,13.79148,True
1.33,28,13.809771,True
0.75,26,13.829482,True
0.89,12,13.837035,True
0.74,27,13.854271,True
1.24,37,13.881119,True
1.27,34,13.903791,True
0.81,20,15.711212,True
0.85,16,15.726253,True
0.83,18,15.741118,True
1.25,36,15.77076,True
1.4,21,15.788972,True
1.49,12,15.799244,True
0.86,15,15.812096,True
1.41,20,15.828419,True
0.87,14,15.840059,True
1.42,19,15.855048,True
0.83,18,15.866544,True
1.35,26,15.883539,True
1.45,16,15.893989,True
1.44,17,15.904724,True
1.42,19,15.916683,True
1.48,13,15.925274,True
1.48,13,15.933636,True
0.79,22,15.947845,True
0.8,21,15.964227,True
0.87,14,15.973811,True
0.79,22,15.997602,True
0.83,18,16.009804,True
0.85,16,16.023726,True
0.79,22,16.03792,True
1.4,21,16.051563,True
1.41,20,16.065021,True
1.39,22,16.081397,True
1.45,16,16.091928,True
1.45,16,16.102111,True
0.86,15,16.111561,True
0.83,18,16.123731,True
1.44,17,16.135497,True
1.49,12,16.143328,True
0.82,19,16.155158,True
1.43,18,16.166836,True
0.85,16,16.177394,True
0.87,14,16.186361,True
0.83,18,16.19783,True
1.43,18,16.209195,True
1.47,14,16.218984,True
0.87,14,16.228117,True
1.42,19,16.240001,True
1.4,21,16.253183,True
