#{"t_start": 1782408269.688641, "env_id": "None"}
r,l,t,true_done
-0.5,50,0.930904,False
-0.5,50,0.964475,False
-0.5,50,0.997053,False
-0.5,50,1.031838,False
-0.5,50,1.066687,False
0.69,32,1.087368,True
-0.5,50,1.122659,False
-0.5,50,1.15322,False
-0.5,50,1.18774,False
-0.5,50,1.21861,False
-0.5,50,1.246612,False
-0.5,50,1.274592,False
-0.5,50,1.301137,False
-0.5,50,1.329577,False
-0.5,50,1.356956,False
-0.5,50,1.384625,False
-0.5,50,1.412728,False
-0.5,50,1.440067,False
-0.5,50,1.467672,False
-0.5,50,1.498903,False
-0.5,50,1.528876,False
-0.5,50,1.557762,False
-0.5,50,1.585192,False
-0.5,50,1.61269,False
-0.5,50,1.639696,False
-0.5,50,1.667429,False
-0.5,50,1.694743,False
-0.5,50,1.72498,False
-0.5,50,1.753061,False
0.51,50,1.783848,True
-0.5,50,1.811331,False
-0.5,50,1.838544,False
0.6,41,1.860946,True
-0.5,50,1.888315,False
-0.5,50,1.916044,False
-0.5,50,1.942083,False
-0.5,50,1.969774,False
-0.5,50,1.995697,False
-0.5,50,2.024053,False
-0.5,50,2.050219,False
-0.5,50,2.077394,False
-0.5,50,3.271611,False
-0.5,50,3.310767,False
-0.5,50,3.348421,False
0.55,46,3.38545,True
-0.5,50,3.427043,False
0.6,41,3.452557,True
-0.5,50,3.481314,False
-0.5,50,3.508627,False
-0.5,50,3.536057,False
-0.5,50,3.565827,False
-0.5,50,3.594144,False
0.74,27,3.61011,True
-0.5,50,3.638095,False
-0.5,50,3.665717,False
-0.5,50,3.692797,False
-0.5,50,3.720602,False
-0.5,50,3.747278,False
-0.5,50,3.775497,False
-0.5,50,3.803259,False
0.59,42,3.827742,True
-0.5,50,3.854607,False
-0.5,50,3.883206,False
-0.5,50,3.911582,False
-0.5,50,3.939647,False
-0.5,50,3.96749,False
-0.5,50,3.994427,False
-0.5,50,4.022618,False
0.76,25,4.037343,True
-0.5,50,4.064676,False
-0.5,50,4.091734,False
-0.5,50,4.119295,False
-0.5,50,4.146134,False
-0.5,50,4.176536,False
-0.5,50,4.205645,False
-0.5,50,4.234588,False
-0.5,50,4.262951,False
-0.5,50,4.29112,False
-0.5,50,4.318602,False
-0.5,50,4.345481,False
-0.5,50,4.372494,False
-0.5,50,4.398605,False
0.52,49,4.426833,True
-0.5,50,5.501704,False
0.59,42,5.529874,True
0.54,47,5.558158,True
-0.5,50,5.590113,False
-0.5,50,5.621196,False
0.67,34,5.641999,True
0.54,47,5.673069,True
-0.5,50,5.702288,False
-0.5,50,5.731206,False
-0.5,50,5.759066,False
0.54,47,5.784428,True
0.77,24,5.797053,True
0.58,43,5.821549,True
-0.5,50,5.848681,False
-0.5,50,5.876158,False
-0.5,50,5.903576,False
0.65,36,5.923543,True
-0.5,50,5.950255,False
0.69,32,5.968435,True
-0.5,50,5.996003,False
0.75,26,6.010568,True
-0.5,50,6.038681,False
0.57,44,6.063058,True
-0.5,50,6.089815,False
0.57,44,6.113704,True
-0.5,50,6.140449,False
0.71,30,6.157305,True
-0.5,50,6.186959,False
-0.5,50,6.215294,False
-0.5,50,6.243771,False
-0.5,50,6.272143,False
-0.5,50,6.300718,False
-0.5,50,6.329225,False
-0.5,50,6.35605,False
-0.5,50,6.38418,False
-0.5,50,6.411383,False
-0.5,50,6.438615,False
-0.5,50,6.46575,False
0.61,40,6.487893,True
0.71,30,6.503752,True
-0.5,50,6.53067,False
-0.5,50,6.559115,False
-0.5,50,6.586985,False
-0.5,50,6.615395,False
0.71,30,6.632202,True
0.62,39,6.652808,True
0.72,29,7.645733,True
0.61,40,7.673507,True
0.54,47,7.705038,True
0.58,43,7.737112,True
0.55,46,7.76917,True
0.73,28,7.788042,True
0.68,33,7.810451,True
-0.5,50,7.840665,False
0.53,48,7.87072,True
0.77,24,7.88445,True
-0.5,50,7.913029,False
0.79,22,7.925815,True
0.72,29,7.941495,True
0.63,38,7.96227,True
0.79,22,7.974432,True
0.82,19,7.984807,True
0.64,37,8.005241,True
0.64,37,8.025851,True
0.65,36,8.045252,True
0.81,20,8.056678,True
0.68,33,8.075025,True
0.62,39,8.096475,True
0.76,25,8.110679,True
-0.5,50,8.137936,False
-0.5,50,8.167296,False
-0.5,50,8.195548,False
0.72,29,8.212319,True
-0.5,50,8.240263,False
0.73,28,8.25625,True
0.57,44,8.280383,True
0.69,32,8.297728,True
0.67,34,8.317752,True
0.84,17,8.327411,True
0.7,31,8.344424,True
0.85,16,8.353249,True
0.82,19,8.364318,True
0.71,30,8.380482,True
-0.5,50,8.407783,False
0.65,36,8.428776,True
0.85,16,8.438291,True
-0.5,50,8.466808,False
-0.5,50,8.494961,False
0.71,30,8.512265,True
0.57,44,8.537395,True
0.78,23,8.55088,True
