#{"t_start": 1782408124.5807219, "env_id": "None"}
r,l,t,true_done
-0.5,50,1.091907,False
-0.5,50,1.119091,False
-0.5,50,1.146468,False
-0.5,50,1.183527,False
-0.5,50,1.211046,False
-0.5,50,1.235546,False
-0.5,50,1.26154,False
-0.49,50,1.287778,False
0.77,24,1.2999,True
-0.5,50,1.324338,False
-0.5,50,1.350466,False
-0.5,50,1.375951,False
-0.5,50,1.405036,False
0.79,23,1.418306,True
-0.5,50,1.443513,False
-0.5,50,1.471377,False
-0.49,50,1.500642,False
-0.5,50,1.527242,False
-0.5,50,1.555004,False
-0.49,50,1.580927,False
-0.49,50,1.608878,False
0.71,31,1.624944,True
-0.5,50,1.651476,False
-0.5,50,1.678607,False
-0.5,50,1.708328,False
-0.49,50,1.737279,False
-0.49,50,1.767113,False
-0.5,50,1.792349,False
-0.49,50,1.822413,False
0.77,24,1.835249,True
-0.49,50,1.866639,False
-0.5,50,1.892543,False
-0.5,50,1.919732,False
-0.49,50,1.944609,False
-0.5,50,1.971132,False
-0.5,50,1.996657,False
-0.49,50,2.021946,False
-0.5,50,2.049235,False
-0.49,50,2.074571,False
-0.49,50,2.100999,False
-0.5,50,2.126527,False
-0.5,50,2.156325,False
-0.5,50,3.250263,False
0.66,35,3.271055,True
-0.5,50,3.30096,False
-0.5,50,3.32746,False
-0.49,50,3.358523,False
-0.5,50,3.388761,False
-0.5,50,3.417009,False
-0.5,50,3.442448,False
0.52,50,3.469209,True
-0.49,50,3.496065,False
-0.5,50,3.522609,False
-0.5,50,3.548056,False
-0.5,50,3.574134,False
-0.5,50,3.600115,False
-0.5,50,3.625414,False
-0.5,50,3.651119,False
-0.5,50,3.676794,False
-0.5,50,3.702559,False
-0.5,50,3.728166,False
-0.5,50,3.753914,False
-0.49,50,3.778312,False
-0.5,50,3.803277,False
-0.5,50,3.828953,False
-0.49,50,3.854088,False
-0.5,50,3.878564,False
-0.5,50,3.902979,False
-0.5,50,3.928169,False
-0.5,50,3.952986,False
-0.5,50,3.977833,False
-0.49,50,4.002462,False
-0.5,50,4.026768,False
-0.5,50,4.051393,False
-0.5,50,4.076035,False
-0.5,50,4.102119,False
-0.5,50,4.126784,False
-0.49,50,4.152091,False
-0.5,50,4.178139,False
-0.5,50,4.202769,False
-0.5,50,4.226855,False
-0.5,50,4.251401,False
-0.5,50,4.275676,False
-0.49,50,4.300945,False
0.61,40,5.247429,True
-0.5,50,5.276994,False
0.57,44,5.307674,True
-0.5,50,5.339923,False
-0.49,50,5.371141,False
0.79,23,5.384307,True
-0.5,50,5.409889,False
-0.49,50,5.434462,False
-0.5,50,5.459096,False
-0.49,50,5.483992,False
-0.5,50,5.508263,False
0.77,24,5.520271,True
-0.5,50,5.544607,False
-0.5,50,5.569452,False
-0.49,50,5.594797,False
-0.5,50,5.619674,False
-0.49,50,5.644558,False
-0.5,50,5.669857,False
-0.5,50,5.69461,False
0.65,37,5.712721,True
-0.5,50,5.737047,False
-0.5,50,5.762067,False
-0.5,50,5.788189,False
-0.5,50,5.813684,False
-0.5,50,5.840071,False
-0.5,50,5.8665,False
-0.5,50,5.892401,False
-0.5,50,5.917483,False
-0.49,50,5.942504,False
-0.49,50,5.967086,False
-0.5,50,5.991481,False
-0.5,50,6.016856,False
-0.5,50,6.041094,False
0.52,49,6.065128,True
-0.49,50,6.089708,False
-0.5,50,6.115336,False
-0.49,50,6.139872,False
0.52,50,6.166911,True
-0.5,50,6.193253,False
-0.49,50,6.218965,False
-0.5,50,6.244255,False
-0.5,50,6.269999,False
-0.49,50,7.211939,False
0.78,23,7.226121,True
-0.49,50,7.255239,False
0.72,29,7.274136,True
0.6,41,7.30227,True
0.61,40,7.328117,True
-0.5,50,7.357368,False
-0.5,50,7.384401,False
0.71,31,7.40283,True
0.55,46,7.428142,True
-0.49,50,7.456438,False
-0.49,50,7.48127,False
-0.5,50,7.505933,False
-0.5,50,7.530456,False
0.56,46,7.553126,True
0.53,49,7.576956,True
-0.5,50,7.601857,False
-0.5,50,7.626458,False
-0.5,50,7.660014,False
-0.49,50,7.685773,False
0.82,19,7.695414,True
-0.49,50,7.722996,False
-0.49,50,7.751348,False
0.69,33,7.767936,True
-0.5,50,7.792667,False
0.67,34,7.809811,True
-0.5,50,7.834346,False
-0.5,50,7.866786,False
0.7,31,7.882493,True
0.78,24,7.898147,True
0.78,23,7.913807,True
-0.5,50,7.93984,False
0.58,43,7.961096,True
-0.5,50,7.986233,False
-0.5,50,8.012312,False
-0.5,50,8.040261,False
0.68,33,8.058108,True
0.61,41,8.078578,True
